linha_produto,principio_ativo,n_skus,marcas,decision,cod_item,desc_global,confidence,reasoning,n_candidates,candidate_cod_items,model,cached,error,custo_medio,custo_min,custo_max,vl_medio_global,prev_mes_rs,abc_global,run_pass
DIGLICONATO DE CLOREXIDINA (1% AQUOSO 100ML),DIGLICONATO DE CLOREXIDINA,1,['RIOQUIMICA'],no_match,,,1.0,"Princípio ativo correto (digliconato de clorexidina), mas nenhuma opção Global tem a mesma concentração/apresentação clínica 1% aquoso 100 ml. Candidatos são 0,2% aquoso (100 ml, 1000 ml), 0,5% alcoólico, 2% degermante ou colutório 0,12% — dose/forma/via incompatíveis. Regra: mesma dose/concentração obrigatória.",25,"[87250, 84210, 84215, 84212, 84213, 84211, 84214, 102531, 111420, 86601, 111262, 84269, 86649, 83664, 86918, 84135, 86463, 87380, 92940, 86651, 87687, 84107, 84925, 84137, 84228]",openai:gpt-5-mini,False,,1.9,1.9,1.9,,,,initial
DETERGENTE NEUTRO 1L,SANEANTES,2,"['RIOQUIMICA', 'VIC PHARMA']",no_match,,,0.9,"Princípio: SANEANTES (detergente neutro) 1L. Nenhum candidato Global tem apresentação clínica equivalente 1L não concentrado: cod 112443 é detergente concentrado 3,78L (concentração e volume diferentes); cod 84245/108046 são detergentes enzimáticos/ultraconcentrados (forma/concentração distinta); cod 84238 é detergente p/ louça 500ml (volume e indicação diferente). Demais itens são dispositivos/medicamentos não relacionados. Portanto, sem correspondência clínica equivalente.",25,"[112443, 84245, 108046, 84238, 87503, 111147, 86659, 87687, 85009, 87504, 87505, 87506, 111149, 111150, 111148, 111151, 111146, 106529, 87515, 111145, 84673, 84731, 87698, 84999, 84114]",openai:gpt-5-mini,False,,12.471849,10.622031,14.321667,,,,initial
HIDROXIDO DE POTASSIO (40% SOLUCAO 100ML),HIDROXIDO DE POTASSIO,1,['NEWPROV'],no_match,,,0.95,"Princípio ativo Unimed: hidróxido de potássio 40% solução 100 ml. Nenhum candidato lista hidróxido de potássio. Há sais de potássio (cloreto, fosfato) ou outros compostos/soluções e insumos distintos; estes não são quimicamente equivalentes nem intercambiáveis (diferença de substância/formulação). Logo, sem equivalente clínico nos candidatos.",25,"[87286, 84210, 86646, 103251, 103138, 87310, 98005, 92940, 111216, 86842, 87173, 86824, 87190, 87193, 83659, 104604, 111262, 86648, 87210, 84795, 111299, 84135, 84179, 87209, 87194]",openai:gpt-5-mini,False,,13.0675,13.0675,13.0675,,,,initial
CICLOSPORINA (100MG/ML SOL OR FR 50ML),CICLOSPORINA,1,['GERMED'],no_match,,,1.0,"Princípio ativo diferente: Unimed solicita ciclosporina 100 mg/ml solução oral fr 50 ml. Nenhum candidato lista ciclosporina; todos são princípios ativos distintos, doses/formas ou vias não equivalentes.",25,"[86906, 83666, 87160, 86767, 86653, 86495, 86579, 86978, 86472, 87309, 83669, 113736, 86672, 86463, 87073, 87034, 115780, 86596, 86795, 86916, 106331, 86927, 111299, 86423, 86786]",openai:gpt-5-mini,False,,255.0,255.0,255.0,,,,initial
CAMPO OPER 45X50 18G RADIOPA HELENA,PRODUTOS PARA SAUDE,1,['AMED S/A'],no_match,,,0.9,"Linha Unimed é um campo operatório 45x50 cm. Candidatos com campo: cod 87638 é campo fenestrado 75x75 cm (tamanho diferente); cod 88027 é campo operatorio 10x9 cm (tamanho diferente). Outros candidatos não são campos operatórios. Tamanho/espécificação não compatíveis, portanto sem equivalente.",25,"[87888, 87754, 101367, 87266, 87638, 115427, 87284, 108049, 90346, 87267, 86745, 86921, 86853, 87273, 87797, 86609, 87181, 86937, 86608, 84775, 88027, 84186, 87053, 113452, 84894]",openai:gpt-5-mini,False,,1.17,1.17,1.17,,,,initial
CLORETO DE SODIO (2% SPRAY NASAL 100 ML),CLORETO DE SODIO,1,['FQM'],no_match,,,0.95,"Unimed: Cloreto de sódio 2% spray nasal 100 ml (sódio cloreto 2% solución via nasal, volume 100 ml). Nenhum candidato corresponde à mesma concentração e forma/ via. Candidatos relevantes: cod_item=83660 (cloreto de sodio 0,9% 100 ml) tem mesmo volume e via (sistema fechado) mas concentração diferente (0,9% ≠ 2%); cod_item=87116 é gel nasal 6,0 mg/g e fr 30 g (forma e concentração diferentes). Outros candidatos são soro 0,9% em volumes/vias diferentes, injecções, ou produtos com outros princípios ativos. Assim, não há correspondente clínico equivalente.",25,"[87250, 83660, 87116, 83664, 83661, 83663, 83662, 86649, 86646, 83658, 87286, 87287, 86648, 87285, 95507, 86614, 92912, 86542, 83659, 86942, 86683, 87284, 86927, 84107, 87636]",openai:gpt-5-mini,False,,19.04465,19.04465,19.04465,,,,initial
"ACIDO FOLICO + GLICINATO FERRICO (250+0,2MG/ML SUS OR )",ACIDO FOLICO + GLICINATO FERRICO ,1,['EMS SIGMA PHARMA'],no_match,,,0.9,"Produto Unimed: ácido fólico + glicinato férrico, suspensão oral, dose apresentada 250 + 0,2 mg/ml. Nenhum candidato Global descreve a combinação ácido fólico + glicinato férrico em suspensão oral com doses/forma equivalentes. O candidato mais próximo (cod_item=86796) é comprimido de ferripolimaltose + ácido fólico com doses diferentes e sal férrico diferente — forma e substância férrica diferentes => no_match.",25,"[86539, 86426, 86796, 86423, 87208, 87173, 86421, 86417, 86538, 86601, 86472, 86418, 87317, 87198, 87323, 86865, 86728, 86579, 87275, 86424, 100269, 87309, 86798, 87313, 86870]",openai:gpt-5-mini,False,,36.32,36.32,36.32,,,,initial
"APIXABANA SOLIDO ( 2,5MG COMPRIMIDO)",APIXABANA,5,"['ACCORD', 'NATCOFARMA', 'ZYDUS']",match,86485.0,"apixabana 2,5 mg com rev",0.95,"Princípio ativo apixabana corresponde; dose 2,5 mg igual; forma sólida = comprimido (candidato indica 'com rev' = comprimido revestido, clinicamente equivalente); via oral implícita em comprimido; marcas/embalagens ignoradas — cumpre regras de match.",25,"[87388, 86485, 111917, 87051, 86848, 87148, 87167, 86976, 87143, 87140, 86849, 87139, 87092, 87101, 86847, 87100, 86836, 102397, 87165, 87166, 86708, 87052, 110280, 86851, 92914]",openai:gpt-5-mini,False,,0.604267,0.441667,0.900001,0.63,113.022,C,initial
CAMPO OPER 25X28 13G RADIOPA EST DIONE,PRODUTOS PARA SAUDE,2,['AMED S/A'],no_match,,,0.9,"Unimed: campo operatório estéril 25x28 cm, 13G radiopaco (drape cirúrgico). Nenhum candidato Global descreve campo operatório com mesma dimensão e característica radiopaca. Candidato 88027 é campo operatório esteril 10x9 cm (tamanho incompatível). Candidato 87638 é campo fenestrado 75x75 cm (tamanho e fenestração diferentes). Portanto não há equivalência clínica conforme regras (forma/uso semelhante, mas tamanho/característica radiopaca incompatíveis).",25,"[87636, 101325, 87284, 115427, 102364, 87266, 88027, 87638, 86982, 86721, 108037, 112391, 84842, 86771, 87710, 87234, 101367, 102360, 87267, 87297, 87141, 83792, 87045, 87180, 101603]",openai:gpt-5-mini,False,,4.33,4.21,4.45,,,,initial
CAMPO OPER 25X28 17G RADIOPA EST VITORIA,PRODUTOS PARA SAUDE,2,['AMED S/A'],no_match,,,0.9,Linha Unimed: campo operatório estéril 25x28 cm com fio radiopaco (17G). Nenhum candidato corresponde a um campo/operatorio esteril com mesma forma e dimensões: cod_item=87638 é campo fenestrado 75x75 cm (tamanho/formato incompatíveis); cod_item=102366 é gaze radiopaca (produto diferente). Portanto sem candidato equivalente.,25,"[87636, 87638, 88154, 87284, 99655, 88153, 116642, 115427, 84842, 111299, 83887, 86769, 102364, 104033, 86683, 102366, 87829, 86903, 102359, 87004, 87045, 87333, 101325, 86943, 87258]",openai:gpt-5-mini,False,,4.55,4.54,4.56,,,,initial
DIGLICONATO DE CLOREXIDINA (2% TINTURA 100ML) ,DIGLICONATO DE CLOREXIDINA,1,['RIOQUIMICA'],match,84215.0,clorexidina degermante 2% 100ml,1.0,Princípio ativo: digliconato de clorexidina = clorexidina; concentração 2% = 2%; forma clínica: tintura (solução antisséptica/degermante) — compatível; via tópica/dermal (implícita) = compatível; volume 100 ml = igual. Marca ignorada.,25,"[87250, 84215, 84212, 84210, 84211, 84214, 84213, 111420, 84269, 86651, 86601, 102531, 84922, 88152, 104604, 88170, 92851, 92852, 87587, 86865, 92940, 83664, 87217, 87844, 88104]",openai:gpt-5-mini,False,,7.6,7.6,7.6,2.17,2500.057,A,initial
PARACETAMOL LIQUIDO (200MG/ML SOL OR 15ML),PARACETAMOL,1,['EMS'],match,87097.0,paracetamol 200 mg/ml sol or fr got 15 ml ,1.0,Princípio: paracetamol (mesmo). Dose: 200 mg/ml (idêntica). Forma: solução oral (sol or). Via: oral (got/sol oral). Volume: 15 ml (mesma apresentação). Marcas ignoradas — apresentação clínica equivalente.,25,"[86906, 87097, 101241, 87101, 87100, 100269, 87160, 86423, 84228, 86764, 87099, 83666, 87266, 87198, 83669, 113736, 87141, 86536, 87252, 86606, 86429, 86916, 115780, 87098, 86637]",openai:gpt-5-mini,False,,1.1,1.1,1.1,1.45,151.10449999999997,C,initial
COLECALCIFEROL+RETINOL+OXIDO DE ZINCO TOPICO (1000UI/G+400UI/G+100MG/G POM),COLECALCIFEROL+RETINOL+OXIDO DE ZINCO,1,['NATIVITA'],no_match,,,0.9,Produto Unimed é pomada tópica combinando colecalciferol 1000 UI/g + retinol 400 UI/g + óxido de zinco 100 mg/g. Nenhum candidato Global apresenta a mesma combinação de princípios ativos nem forma/ via equivalentes: alguns têm apenas um dos ativos (óxido de zinco ou retinol) ou colecalciferol em forma oral/cápsula ou concentrações diferentes. Portanto não há equivalente clínico nos candidatos fornecidos.,25,"[87033, 86666, 86665, 86661, 86846, 100370, 86422, 86601, 112393, 105079, 84873, 88057, 83664, 86843, 86596, 114727, 87914, 87116, 86646, 88056, 87174, 86827, 86413, 113429, 87274]",openai:gpt-5-mini,False,,2.99,2.99,2.99,,,,initial
COLECALCIFEROL+RETINOL+OXIDO DE ZINCO TOPICO ( 5000UI/G+900UI/G+150MG/G POMADA),COLECALCIFEROL+RETINOL+OXIDO DE ZINCO,1,['BELFAR'],no_match,,,0.95,"A linha Unimed é pomada tópica combinando colecalciferol (5.000 UI/g) + retinol (900 UI/g) + óxido de zinco (150 mg/g). Nenhum candidato Global apresenta essa combinação clínica na mesma forma/ via/ doses: o item 1 tem óxido de zinco mas associado a nistatina e com 200 mg/g (dose e princípio diferentes); outros itens são colecalciferol em apresentações orais ou de dosagens distintas, ou retinol em pomada oftálmica com outros ativos. Portanto não há equivalente clínico.",25,"[87033, 86666, 86665, 86661, 112393, 100370, 86846, 88057, 86422, 83664, 86601, 87087, 86843, 86596, 86555, 105079, 113510, 83663, 88056, 87174, 86646, 84873, 87022, 87286, 83661]",openai:gpt-5-mini,False,,3.31,3.31,3.31,,,,initial
VASOPRESSINA  (20UI/ML INJ IV/IM/SC 1ML),VASOPRESSINA,1,['BIOLAB'],match,87297.0,vasopressina sintetica 20 u/ml sol inj amp 1 ml,1.0,Princípio: vasopressina (sintética) — mesmo princípio ativo. Dose/concentração: 20 U/mL — igual. Forma farmacêutica: solução injetável — igual. Via: IV/IM/SC — compatível. Volume/embalagem: ampola 1 mL — compatível. Marcas ignoradas.,25,"[115565, 87297, 86615, 86687, 86734, 87238, 86537, 86769, 87201, 86859, 87007, 92960, 86732, 106331, 86789, 86979, 87047, 86727, 92894, 87279, 86877, 100385, 87096, 86494, 86554]",openai:gpt-5-mini,False,,21.99764,21.99764,21.99764,26.35,1017.11,C,initial
CLORIDRATO DE BUPIVACAINA INJETAVEL (5+80MG/ML INJ 4ML ),CLORIDRATO DE BUPIVACAINA+GLICOSE,3,"['CRISTALIA', 'HIPOLABOR', 'HYPOFARMA']",match,86544.0,bupivacaina + glicose 5 mg/ml + 80 mg/ml inj amp 4 ml,1.0,"Mesma substância (cloridrato de bupivacaína + glicose), mesma concentração (5 mg/ml + 80 mg/ml), mesma forma farmacêutica (solução injetável) e mesmo volume/embalagem (ampola 4 ml). Marcas ignoradas; apresentação clínica equivalente.",25,"[86544, 86704, 86547, 86545, 86705, 86546, 104604, 100269, 86554, 100370, 111420, 86651, 86786, 86523, 110280, 86979, 86865, 86909, 86463, 116358, 86633, 86596, 116877, 87041, 86727]",openai:gpt-5-mini,False,,3.67,2.45,5.8,5.76,2112.192,C,initial
"ATADURA DE CREPOM 20 X 1,8M 13F ECOMAX",PRODUTOS PARA SAUDE,1,['ECOMAX '],match,87458.0,atadura crepom 20x180cm não estéril - embalagem individual,0.95,"Princípio: atadura/crepom (produto para saúde). Dose: N/A. Forma farmacêutica: atadura crepom. Via: uso externo (compatível). Volume/embalagem: 20 x 1,8 m = 20 x 180 cm — corresponde exatamente ao candidato 87458 (atadura crepom 20x180cm não estéril). Marca ignorada (ECOMAX) conforme regra.",25,"[87524, 88076, 88209, 84858, 87380, 87457, 87456, 88197, 88198, 87459, 88196, 87777, 87458, 88121, 84775, 84857, 86694, 83658, 87645, 92804, 88191, 88195, 84226, 87454, 84859]",openai:gpt-5-mini,False,,0.763333,0.763333,0.763333,2.65,25.705,C,initial
IODOPOVIDONA (TINTURA 100ML),IODOPOVIDONA,1,['RIOQUIMICA'],no_match,,,0.95,"Produto Unimed: IODOPOVIDONA (tintura) 100 ml — princípio ativo iodo povidona. Nenhum dos candidatos listados contém iodo povidona ou descrição equivalente (apenas antissépticos como clorexidina aparecem, além de itens não relacionados). Por regra, substância/princípio ativo deve coincidir; portanto não há candidato clínico equivalente.",25,"[100952, 100387, 86729, 85007, 88140, 83940, 87687, 86862, 88190, 84925, 84215, 88084, 84214, 87498, 84212, 92985, 84963, 102111, 111595, 92960, 87132, 83667, 84210, 86619, 84211]",openai:gpt-5-mini,False,,8.25,8.25,8.25,,,,initial
"ENOXAPARINA SODICA (60MG/ML SOUCAO INJETAVEL SERINGA PREENCHIDA 0,6ML)",ENOXAPARINA SODICA,4,"['BIOMM', 'CRISTALIA', 'EUROFARMA']",match,86754.0,"enoxaparina sodica 60 mg sol inj ser 0,6 ml",1.0,"Princípio ativo: enoxaparina sódica — corresponde. Dose/concentração: 60 mg (apresentação 60 mg/0,6 ml) — corresponde. Forma farmacêutica: solução injetável em seringa preenchida — corresponde. Volume/embalagem: 0,6 ml — corresponde. Via relevante (IV/SC) compatível com a linha Unimed. Marcas ignoradas.",25,"[86682, 86753, 86754, 86755, 86752, 86751, 83696, 86614, 113429, 111928, 113428, 113430, 104284, 87253, 86604, 102105, 111927, 86804, 92945, 115565, 83679, 111299, 103581, 87281, 95607]",openai:gpt-5-mini,False,,17.79981,6.99924,31.5,20.41,21920.34,B,initial
PEROXIDO DE HIDROGENIO (10 VOL 1 LITRO ALMOTOLIA),PEROXIDO DE HIDROGENIO,1,['VIC PHARMA'],no_match,,,0.95,"Princípio ativo = peróxido de hidrogénio (água oxigenada) 10 vol 1 L, solução tópica/antisséptico. Nenhum candidato Global corresponde a peróxido de hidrogénio ou descrições equivalentes; todos os itens listados são outros fármacos, soluções injetáveis, cremes ou insumos diferentes. Dose, forma e princípio ativo não coincidem com nenhum cod_item.",25,"[87202, 86649, 83659, 92940, 87380, 83664, 87217, 87118, 86803, 86570, 86646, 88170, 87041, 100370, 84759, 86443, 84795, 86865, 83802, 87261, 86582, 83658, 86601, 86764, 86523]",openai:gpt-5-mini,False,,4.45,4.45,4.45,,,,initial
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),OMALIZUMABE,2,['NOVARTIS'],match,87107.0,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,1.0,"Mesma substância (omalizumabe), mesma dose (150 mg), mesma forma farmacêutica (solução injetável), mesma via (SC) e embalagem 1 ml pré‑enchida; corresponde exatamente ao XOLAIR listado.",25,"[115565, 87107, 87020, 87253, 116669, 103581, 83644, 87281, 115814, 114696, 116877, 95607, 86437, 111046, 87047, 87280, 92945, 111048, 111928, 86641, 86682, 86782, 86324, 87040, 86603]",openai:gpt-5-mini,False,,2485.36175,2398.7955,2571.928,2822.8,153842.6,A,initial
CLORIDRATO DE PETIDINA  (50MG/ML INJ 2ML ) A1,CLORIDRATO DE PETIDINA,2,"['CRISTALIA', 'UNIAO QUIMICA']",no_match,,,1.0,"Nenhum candidato corresponde ao princípio ativo CLORIDRATO DE PETIDINA 50 mg/ml solução injetável 2 ml. Os itens listados incluem cetamina/escetamina (50 mg/ml), fentanila (50 mcg/ml), e outros princípios diferentes; formas e doses similares não compensam substância distinta. Marcas ignoradas — ainda assim nenhuma entrada é petidina.",25,"[87286, 111420, 86704, 86705, 86865, 110280, 92961, 95507, 86649, 83673, 83664, 87380, 86335, 100269, 87244, 104710, 87041, 100370, 87127, 86651, 86463, 86859, 83674, 106331, 87173]",openai:gpt-5-mini,False,,2.21,1.92,2.5,,,,initial
IMUNOGLOBULINA (5MG/ML SOL INJ FA 100ML),IMUNOGLOBULINA HUMANA,1,['SHANDONG TAIBANG'],match,87130.0,imunoglobulina humana 5g sol inj fa 100 ml,0.8,"Mesma substância (imunoglobulina humana), forma: solução para injeção, via IV compatível, volume 100 mL corresponde. Observação: Unimed registra 5 mg/mL enquanto o candidato é 5 g/100 mL (50 mg/mL); existe provável erro tipográfico no cadastro Unimed (esperado 5 g/100 mL = 50 mg/mL). Por isso aceito o match com confiança reduzida.",25,"[113736, 87130, 116965, 86874, 83680, 87016, 87238, 87040, 110761, 87141, 87249, 87234, 87007, 86989, 110280, 106331, 87024, 86994, 86997, 84759, 110315, 110317, 83688, 115305, 87266]",openai:gpt-5-mini,False,,1850.0,1850.0,1850.0,1821.3,65202.53999999999,A,initial
ELETRODO 2223BR,PRODUTOS PARA SAUDE,1,['3M'],match,87515.0,eletrodo descartavel adulto,0.9,"Eletrodo descartável adulto — descrição Unimed 'ELETRODO 2223BR' (3M) corresponde clinicamente a eletrodo descartável adulto. Marca ignorada. Excluídos candidatos infantil, neonatal, específico para cápsula endoscópica e eletrodo de carbono (nenhuma indicação de material/carbono na descrição).",25,"[87515, 88010, 92807, 110640, 87802, 101407, 92867, 101408, 101403, 83814, 86928, 103138, 84844, 84845, 102362, 87593, 87588, 88159, 111416, 115315, 86671, 84313, 84237, 87720, 87981]",openai:gpt-5-mini,False,,0.446125,0.446125,0.446125,0.18,2008.314,A,initial
OXIMAX (DESINCRUSTANTE ACIDO) 1L,ACIDO FOSFORICO,1,['RIOQUIMICA'],no_match,,,0.95,"Princípio ativo: ácido fosfórico (desincrustante ácido) em apresentação líquida 1L. Nenhum dos candidatos descreve desincrustante ou produto à base de ácido fosfórico; itens listados são nutrição enteral, sacos de lixo, álcoois, desinfetante de alto nível sem indicação de ácido fosfórico (113688 é desinfetante Steris 4L), medicamentos orais (ácidos orgânicos em comprimidos), insumos diversos. Dose/forma/uso incompatíveis com desincrustante ácido 1L.",25,"[102150, 111591, 87185, 84142, 113688, 84143, 87526, 111118, 87186, 87187, 87171, 87515, 111955, 86420, 86428, 92996, 87550, 83902, 101549, 86412, 86430, 87445, 83671, 86775, 107629]",openai:gpt-5-mini,False,,36.7425,36.7425,36.7425,,,,initial
COLETOR PERF CORTANTE 20L AMARELO ECO,PRODUTOS PARA SAUDE,1,['DESCARBOX'],no_match,,,0.9,"Princípio: coletor para material perfurocortante (ok). Forma: caixa/coletor para perfurocortantes (ok for candidates 84182/84181/84183). Volume especificado na Unimed = 20 L; candidatos disponíveis são 3 L (84181), 7 L (84182) e 13 L (84183) — nenhuma corresponde ou é compatível com 20 L. Portanto não há match clínico equivalente.",25,"[87499, 87498, 84182, 84181, 87785, 83767, 88152, 84183, 84118, 92866, 84143, 84313, 84142, 103138, 84220, 115572, 87958, 88210, 87549, 84795, 87844, 83658, 102366, 86633, 84137]",openai:gpt-5-mini,False,,5.2,5.2,5.2,,,,initial
OLEO GIRASSOL HIDRATANTE 200ML,AGE - ACIDOS GRAXOS ESSENCIAIS,1,['FARMACHEM'],no_match,,,0.9,"Produto Unimed: óleo de girassol hidratante 200 ml (princípio: ácidos graxos essenciais) — forma: óleo tópico, via: cutânea, volume: 200 ml. Nenhum candidato Global apresenta óleo de girassol/ácidos graxos essenciais em apresentação tópica 200 ml. Opções similares: óleo mineral 100 ml (cod 87055) é princípio diferente; óleo Pielsana 30 ml (cod 87132) tem volume diferente (30 ml) e não garante mesma substância. Outros itens são alimentares, soluções ou formas distintas. Portanto sem equivalente clínico adequado.",25,"[84143, 84142, 84958, 87055, 87194, 84989, 84937, 87452, 87132, 114686, 85019, 86702, 87752, 111591, 110280, 102325, 111262, 92960, 87000, 92940, 87263, 84964, 84238, 92932, 101606]",openai:gpt-5-mini,False,,4.43,4.43,4.43,,,,initial
REMOVEDOR DE CURATIVO-REMOVEX SENSITIVE,COSMETICOS,1,['RIOQUIMICA'],match,88159.0,lenco removedor de curativos ,0.9,Mesmo produto clínico (removedor de curativo). Princípio/uso: removedor (cosmético/adesivo); forma: lenço/removedor de curativos compatível; dose/volume não aplicável; marcas ignoradas. Correspondência direta com 'lenco removedor de curativos'.,25,"[88159, 84662, 88165, 84230, 92804, 87913, 84276, 87684, 87798, 88045, 88046, 87260, 88044, 87799, 115572, 115258, 87907, 86771, 88132, 92964, 86724, 114726, 108057, 87685, 103509]",openai:gpt-5-mini,False,,15.0,15.0,15.0,5.05,2047.27,B,initial
RIOCARE FOAM REFIL 1L,COSMETICOS,1,['RIOQUIMICA'],no_match,,,1.0,"Princípio: COSMETICOS; apresentação clínica: espuma/foam refil 1 L (produto de higiene/cosmético, forma e uso tópicos/dispensação). Nenhum candidate Global descreve cosmético foam ou refil 1L — itens são nutrição enteral, medicamentos comprimidos, seringas dosadoras, garrafa térmica, álcool gel 1400ml (mas forma e volume diferentes) etc. Portanto não há equivalente clínico.",25,"[102150, 84986, 103685, 87242, 87159, 88190, 88140, 87165, 87166, 100583, 83767, 108811, 86730, 86970, 86805, 92914, 84142, 83911, 88139, 87142, 86967, 86969, 87158, 87055, 86729]",openai:gpt-5-mini,False,,59.885,59.885,59.885,,,,initial
"SECUQUINUMABE INJETAVEL (75MG SOL INJ SC SER 0,5 ML)",SECUQUINUMABE,1,['NOVARTIS'],match,115805.0,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,0.8,"Princípio: secukinumabe (mesmo ativo). Concentração/dose: Unimed 75 mg em 0,5 ml = 150 mg/ml; candidato 115805 descrito como 150 mg/ml (mesma concentração). Forma/via: solução injetável SC (ambos). Volume/embalagem: Unimed é seringa 0,5 ml (75 mg) vs candidato é 1 ml (150 mg) caneta/vial — embalagem/dose por unidade diferente, mas clinicamente equivalente por mesma concentração e via. Portanto match clínico.",25,"[104284, 87280, 87281, 111046, 111048, 115805, 116877, 87020, 112900, 87253, 83644, 86437, 87279, 103581, 114696, 86604, 87040, 101571, 95607, 115814, 87234, 87107, 87016, 87047, 86814]",openai:gpt-5-mini,False,,1987.28,1987.28,1987.28,4471.5,190485.9,A,initial
COLETOR PERF CORTANTE 7L AMARELO ECO,PRODUTOS PARA SAUDE,1,['DESCARBOX'],match,84182.0,caixa coletora p/ material perfurocortante 7l,1.0,"Mesma finalidade clínica (coletor/caixa para material perfurocortante), mesma capacidade 7 L, forma/uso compatíveis (caixa coletora rígida para perfurocortantes). Cor/marca ignoradas; volume e aplicação coincidem.",25,"[87499, 84182, 87785, 84181, 84183, 83767, 88152, 88210, 84118, 87498, 84143, 84313, 88102, 84219, 84142, 84789, 87549, 87958, 107629, 87490, 84220, 115572, 100819, 84795, 116399]",openai:gpt-5-mini,False,,2.7,2.7,2.7,4.03,1128.803,B,initial
GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 100 ML),GLICOSE,2,['FARMARIN'],match,87314.0,glicose 5% 100 ml fr sistema fechado,1.0,Princípio: glicose. Dose/concentração: 50 mg/ml = 5%. Forma: solução para infusão/injetável. Via: IV. Volume/embalagem: 100 ml frasco sistema fechado. Apresentação clínica idêntica ao item 87314; marcas ignoradas.,25,"[101571, 87314, 87323, 87315, 87312, 87313, 83677, 86603, 87309, 86720, 87322, 87201, 87317, 110315, 110317, 86596, 87047, 87040, 86815, 87210, 87238, 86744, 86601, 87209, 108106]",openai:gpt-5-mini,False,,3.14,3.08,3.2,3.9,803.4,C,initial
OLEO GIRASSOL HIDRATANTE 100ML,AGE - ACIDOS GRAXOS ESSENCIAIS,2,"['FARMACHEM', 'RIOQUIMICA']",no_match,,,0.8,"Produto é ÓLEO GIRASSOL (ácidos graxos essenciais) 100 ml, óleo vegetal hidratante tópico. Nenhum candidato corresponde: os óleos listados são óleo mineral 100 ml (cod 87055) — substância diferente; pielsana óleo 30 ml (cod 87132) — volume 30 ml (incompatível); vaselina 1000 ml (cod 83940) — princípio distinto e volume diferente. Portanto sem candidato clínico equivalente.",25,"[84143, 84142, 87055, 87194, 87452, 87132, 92960, 111262, 84964, 84989, 87263, 87139, 87257, 84965, 84215, 111591, 84214, 102325, 84990, 92985, 84963, 83940, 87719, 83803, 84210]",openai:gpt-5-mini,False,,6.215098,2.64,9.790196,,,,initial
COLETOR PERF CORTANTE 13L AMARELO ECO,PRODUTOS PARA SAUDE,1,['DESCARBOX'],match,84183.0,caixa coletora p/ material perfurocortante 13l,0.95,"Mesma apresentação clínica: coletor/caixa para material perfurocortante (coletor perfurocortante) com capacidade 13 L. Forma (caixa coletora) e volume coincidem; cor/marca (amarelo, ECO) são irrelevantes para o match.",25,"[87499, 84183, 84181, 84182, 87785, 83767, 87498, 84118, 83658, 84142, 88152, 88210, 88056, 87644, 84795, 84313, 84143, 86420, 115150, 88102, 117083, 87894, 84789, 112443, 87549]",openai:gpt-5-mini,False,,6.9,6.9,6.9,5.23,1076.334,B,initial
COLETOR PERF CORTANTE 7L AMARELO PREMI,PRODUTOS PARA SAUDE,2,['DESCARBOX'],match,84182.0,caixa coletora p/ material perfurocortante 7l,1.0,Mesma categoria clínica: coletor/caixa para material perfurocortante; mesmo volume/embalagem 7L; forma/uso compatíveis (caixa coletora perfurocortante). Cor/brand ignoradas segundo regras.,25,"[87499, 84182, 84181, 84183, 83767, 107629, 88210, 84118, 87498, 84143, 116399, 84142, 88152, 107341, 87677, 87785, 88009, 84313, 115150, 83658, 84219, 117083, 84789, 112443, 87549]",openai:gpt-5-mini,False,,4.05,3.3,4.8,4.03,1128.803,B,initial
COLETOR PERF CORTANTE 3L AMARELO ECO,PRODUTOS PARA SAUDE,1,['DESCARBOX'],match,84181.0,caixa coletora p/ material perfurocortante 3l,1.0,"Mesmo tipo de produto (coletor/caixa para material perfurocortante), mesma capacidade/volume 3 L, forma/uso equivalente. Cor/marca ignoradas; apresentação clínica compatível.",25,"[92851, 84181, 84183, 87785, 84182, 83767, 88152, 88210, 84118, 87498, 84143, 83658, 88102, 84142, 84789, 112443, 87549, 107629, 87490, 84220, 115572, 87505, 88056, 84795, 92866]",openai:gpt-5-mini,False,,3.39,3.39,3.39,2.18,362.75200000000007,C,initial
DETERGENTE ENZIMATICO 4 ENZIMAS 1 LITRO,DETERGENTE ENZIMATICO,2,['RIOQUIMICA'],no_match,,,0.85,"Princípio: detergente enzimático (corresponde). Dose/concentração: Unimed = 1 L (provavelmente pronto uso, especifica “4 enzimas”); candidatos enzimáticos listados são “ultraconcentrado 5L” (cod 84245) e “2x concentrado” (cod 108046) — concentração e volume incompatíveis com 1L pronto-uso. Forma farmacêutica: líquido (OK). Via: não aplicável. Falta compatibilidade de concentração/volume e especificação das 4 enzimas nos candidatos → sem equivalente clínico seguro.",25,"[87421, 84245, 108046, 84238, 86958, 87402, 112443, 87118, 87913, 84673, 84731, 104479, 87953, 102358, 88148, 107224, 84894, 115572, 87705, 114171, 84922, 87818, 87503, 87506, 108715]",openai:gpt-5-mini,False,,31.25,22.5,40.0,,,,initial
